Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
Asus Expertbook B1502 Core i3 12TH Gen,"රු132,500.00",8GB,12,i3,SSD,512GB
Asus Expertbook B1502 Core i5 12TH Gen,"රු184,000.00",8GB,12,i5,SSD,512GB
Asus Expertbook B1502 Core i7 Laptop,"රු213,000.00",8GB,12,i7,SSD,512GB
ASUS Vivobook 15 (X1504) i5 13th Gen,"රු182,500.00",8GB,13,i5,SSD,512GB
ASUS Vivobook 15 A1504 i5 13th Gen 16GB,"රු192,500.00",16GB,13,i5,SSD,512GB
ASUS Vivobook 15 E1504 F Ryzen 5,"රු157,999.00",8GB,7,Ryzen 5,SSD,512GB
ASUS Vivobook 15 F1504 i5 13th Gen,"රු187,500.00",12GB,13,i5,SSD,512GB
"ASUS Vivobook 15 X1502 H 12 Core, i5 Laptop","රු181,999.00",8GB,12,i5,SSD,512GB
"ASUS Vivobook 15 X1502 i (10 Core,12MB Cache)","රු136,000.00",8GB,12,i3,SSD,512GB
ASUS Vivobook 15 X1502 I5 H,"රු187,000.00",16GB,12,i5,SSD,512GB
ASUS Vivobook 15 X1504 i3 13th Gen Laptop,"රු135,500.00",8GB,13,i3,SSD,256GB
ASUS Vivobook 16 X1605Z I5 13TH GEN ( H ) Laptop,"රු198,000.00",8GB,13,i5,SSD,512GB
Dell Vostro 3520 i5 12TH Gen Laptop,"රු153,000.00",8GB,12,i5,SSD,512GB
Dell Vostro 3520 i7 12TH Gen Laptop,"රු196,500.00",8GB,12,i7,SSD,512GB
HP 250 G10 I5 13th Gen Laptop,"රු182,000.00",8GB,13,i5,SSD,512GB
HP 250G9 Core i5 12th Gen Laptop,"රු169,000.00",8GB,12,i5,SSD,512GB
"HP 250G9 Core i5 12th Gen,16GB Laptop","රු175,000.00",16GB,12,i5,SSD,512GB
HP ENVY 14-ES1023 Ultra 7 ( i7 ) 14th Gen,"රු299,000.00",16GB,14,i7,SSD,512GB
HP Victus 15 FB1000TX Gaming Laptop,"රු242,000.00",16GB,7,Ryzen 5,SSD,1TB
HP Victus 15 FB1013DX Gaming Laptop,"රු218,999.00",8GB,7,Ryzen 5,SSD,512GB
HP Victus 15 FB1013NN 16GB Gaming Laptop,"රු227,000.00",16GB,7,Ryzen 5,SSD,512GB
HP Victus Gaming 15-FA1093DX 13th Gen,"රු257,000.00",8GB,13,i5,SSD,512GB
Lenovo IdeaPad 3 Slim 13th Gen Laptop,"රු148,000.00",8GB,13,i3,SSD,512GB
Lenovo LOQ 15IRI8 Gaming Laptop 13th Gen,"රු279,000.00",8GB,13,i5,SSD,1TB
Lenovo V15 G3 Core i5 Business Laptop,"රු159,000.00",8GB,12,i5,SSD,512GB
Lenovo V15 G4  Core i3 13TH Gen Laptop,"රු134,000.00",8GB,13,i3,SSD,512GB
Lenovo V15 G4  Core i5 13TH Gen Laptop,"රු170,000.00",8GB,13,i5,SSD,512GB
MSI MODERN 15-B7M RYZEN 7 Laptop,"රු183,500.00",8GB,7,Ryzen 7,SSD,512GB
HP 15S – DY5131WM 12th Gen I3,"රු133,000.00",8GB,12,i3,SSD,256GB
HP 15s – FQ5026 Core I5 12TH Gen Laptop,"රු178,000.00",8GB,12,i5,SSD,512GB
HP 15s – FD206TU I5 13TH GEN,"රු187,000.00",8GB,13,i5,SSD,512GB
