Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
MSI Katana GF66 12UC i7-12700H|8GB|512GB|RTX3050,"Rs. 385,000.00",8GB DDR4-3200,"Intel® Core™ i7-12700H Processor 24MB Cache, up to 4.70 GHz","Intel® Core™ i7-12700H Processor 24MB Cache, up to 4.70 GHz",512GB M.2 NVMe PCIe Gen4,512GB M.2 NVMe PCIe Gen4
HP Laptop 15-dy5131wm i3-1215U|8GB|256GB|Win 11,"Rs. 138,500.00",8 GB DDR4-3200 MHz RAM '2 x 4 GB',"Intel® Core™ i3-1215U 'up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads'","Intel® Core™ i3-1215U 'up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads'",256 GB PCIe® NVMe™ M.2 SSD,256 GB PCIe® NVMe™ M.2 SSD
MSI Modern 15 - B13M i3-1315U|8GB|512GB|Win 11,"Rs. 179,100.00",8GB DDR4-3200 onboard,"Intel® Core™ i3-1315U '12M Cache, up to 4.60GHz'","Intel® Core™ i3-1315U '12M Cache, up to 4.60GHz'",512GB M.2 SSD NVMe PCIe Gen3,512GB M.2 SSD NVMe PCIe Gen3
MSI Cyborg 15 A13VE I7-13620H|16GB|512GB|RTX 4050,"Rs. 375,000.00",16GB '8X2' DDR5-5200,"Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz","Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz",512GB NVMe PCIe Gen4 M.2 SSD,512GB NVMe PCIe Gen4 M.2 SSD
MSI Cyborg 15 A12UDX i7-12650H|16GB|512GB|RTX3050,"Rs. 325,000.00",16GB '8X2' DDR5-4800,"Intel® Core™ i7-12650H '24M Cache, up to 4.70Hz'","Intel® Core™ i7-12650H '24M Cache, up to 4.70Hz'",512GB NVMe PCIe Gen4 M.2 SSD,512GB NVMe PCIe Gen4 M.2 SSD
MSI Thin 15 B13UCX I5-13420H|8GB|512GB|RTX2050|144hz,"Rs. 299,000.00","8GB DDR4-3200 2 slots, up to 64GB","Intel® Core™ i5-13420H Processor 12M Cache, up to 4.60 GHz","Intel® Core™ i5-13420H Processor 12M Cache, up to 4.60 GHz",512GB NVMe M.2 SSD by PCIe Gen4 x4,512GB NVMe M.2 SSD by PCIe Gen4 x4
Victus Gaming Laptop 15-fb1013dx R5 7535HS|8GB|512GB|RTX 2050,"Rs. 233,900.00",8 GB DDR5-4800 MHz RAM '1 x 8 GB',"AMD Ryzen™ 5 7535HS 'up to 4.5 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads'","AMD Ryzen™ 5 7535HS 'up to 4.5 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads'",512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD
ASUS ZENBOOK 14 OLED Q415MA CORE ULTRA 5|8GB|512GB|14 OLED,"Rs. 264,000.00",8GB LPDDR5 on board,"Intel® Core™ Ultra 5 Processor 125H 1.2 GHz '18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads'; Intel® AI Boost NPU","Intel® Core™ Ultra 5 Processor 125H 1.2 GHz '18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads'; Intel® AI Boost NPU",512GB M.2 NVMe™ PCIe® 4.0 SSD,512GB M.2 NVMe™ PCIe® 4.0 SSD
ASUS TUF Gaming F15 FX507VV4 i7-13700H|8GB|512GB|RTX 4060,"Rs. 474,000.00",8GB DDR4-3200 SO-DIMM x 2 Max Capacity:32GB Support dual channel memory,"13th Gen Intel® Core™ i7-13700H Processor 2.4 GHz '24M Cache, up to 5 GHz, 14 cores: 6 P-cores and 8 E-cores'","13th Gen Intel® Core™ i7-13700H Processor 2.4 GHz '24M Cache, up to 5 GHz, 14 cores: 6 P-cores and 8 E-cores'",512GB PCIe® 4.0 NVMe™ M.2 SSD,512GB PCIe® 4.0 NVMe™ M.2 SSD
ROG Strix G16 '2023' G614JV-AS73|16GB|512GB|RTX 4060,"Rs. 554,000.00",16GB '8x2' DDR5-4800 SO-DIMM x 2 Max Capacity:32GB,13th Gen Intel® Core™ i7-13650HX Processor 2.6 GHz,13th Gen Intel® Core™ i7-13650HX Processor 2.6 GHz,512GB PCIe® 4.0 NVMe™ M.2 SSD,512GB PCIe® 4.0 NVMe™ M.2 SSD
