Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
Asus Expertbook B1502 Core i3 12TH Gen,"රු132,500.00",8GB DDR4 3200MHZ Memory Up to 40GB,N/A,"Core™ i3-1215U (up to 4.4 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads)",512GB NVME SSD Drive,512GB NVME SSD Drive
Asus Expertbook B1502 Core i5 12TH Gen,"රු184,000.00",8GB DDR4 3200MHZ Memory Up to 40GB,Genuine Windows 11 Professional,"Intel® Core™ i5-1235u Processor 2.4 GHz (12M Cache, up to 4.4 GHz, 10 cores)",512GB NVME SSD Drive,512GB NVME SSD Drive
Asus Expertbook B1502 Core i7 Laptop,"රු213,000.00",8GB DDR4 3200MHZ Memory,Genuine Windows 11 Professional,"Intel®Core™ i7-1255U Processor 1.7 GHz (12M Cache, up to 4.7 GHz, 10 cores)",512GB NVME SSD Drive,512GB NVME SSD Drive
ASUS Vivobook 15 (X1504) i5 13th Gen,"රු182,500.00",8GB DDR4-3200MHZ Ram,N/A,"Intel® Core™ i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
ASUS Vivobook 15 A1504 i5 13th Gen 16GB,"රු192,500.00",16GB DDR4-3200MHZ Ram,N/A,"Intel® Core™ i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
ASUS Vivobook 15 E1504 F Ryzen 5,"රු157,999.00",8GB DDR5-4800 MHz RAM,N/A,"AMD Ryzen™ 5 7520U Mobile Processor 2.8GHz (4-core/8-thread, 4MB cache, up to 4.3 GHz max boost)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
ASUS Vivobook 15 F1504 i5 13th Gen,"රු187,500.00",12GB DDR4-3200MHZ Ram,N/A,"Intel® Core™ i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
"ASUS Vivobook 15 X1502 H 12 Core, i5 Laptop","රු181,999.00",8GB DDR4-2666 MHz RAM (1 x 8 GB),Genuine Windows 11,"Intel® Core™ i5-12500H Processor 2.4 GHz (18M Cache, up to 4.4 GHz, 12 cores)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
"ASUS Vivobook 15 X1502 i (10 Core,12MB Cache)","රු136,000.00",8GB DDR4-3200 MHz RAM up to 40GB,N/A,"Intel® Core™ i3-1220P Processor 1.1 GHz (12M Cache, up to 4.4 GHz, 10 core",512GB PCIE NVME SSD,512GB PCIE NVME SSD
ASUS Vivobook 15 X1502 I5 H,"රු187,000.00",16GB DDR4-2666 MHz RAM (2 x 8 GB),Genuine Windows 11,"Intel® Core™ i5-12500H Processor 2.4 GHz (18M Cache, up to 4.4 GHz, 12 cores)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
ASUS Vivobook 15 X1504 i3 13th Gen Laptop,"රු135,500.00",8GB DDR4-3200 MHz RAM up to 40GB,N/A,"Intel® Core™ i3-1315U (up to 4.5 GHz with Intel® Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads)",256GB PCIE NVME SSD,256GB PCIE NVME SSD
ASUS Vivobook 16 X1605Z I5 13TH GEN ( H ) Laptop,"රු198,000.00",8GB DDR4-3200MHz RAM (1 x 8 GB),Genuine Windows 11 License,"Intel® Core™ i5-13500H Processor 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
Dell Vostro 3520 i5 12TH Gen Laptop,"රු153,000.00","8 GB, 1 x 8 GB, DDR4, 3200MHz Memory","12th Generation Intel® Core™ i5-1235U (12 MB Cache, 10 Core, 16 Threads, 1.30 GHz to 4.40 GHz, 15 W)","12th Generation Intel® Core™ i5-1235U (12 MB Cache, 10 Core, 16 Threads, 1.30 GHz to 4.40 GHz, 15 W)","512GB, M.2, PCIe NVMe, SSD","512GB, M.2, PCIe NVMe, SSD"
Dell Vostro 3520 i7 12TH Gen Laptop,"රු196,500.00","8 GB, 1 x 8 GB, DDR4, 3200MHz Memory","12th Generation Intel(R) Core(TM) i7-1255U (12MB Cache, up to 4.7 GHz, 10 cores)","12th Generation Intel(R) Core(TM) i7-1255U (12MB Cache, up to 4.7 GHz, 10 cores)","512 GB, M.2, PCIe NVMe, SSD","512 GB, M.2, PCIe NVMe, SSD"
HP 250 G10 I5 13th Gen Laptop,"රු182,000.00",8GB DDR4-3200 MHz RAM (2x 8 GB),N/A,"Intel® Core™ i5-1335U (up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",512GB PCIE NVME SSD Drive,512GB PCIE NVME SSD Drive
