Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
Asus Vivobook 15 X1504VA – i5,"රු235,000.00",– 16GB DDR4 3200 MHz RAM,N/A,– Intel Core i5 – 1335U Processor,– 512GB NVME M.2 SSD,– 512GB NVME M.2 SSD
Asus ExpertBook B1 B1402CV – i7,"රු325,000.00",– 16GB DDR4 RAM,N/A,– Intel Core i7-1355U Processor,– 1TB M.2 NVMe PCIe SSD,– 1TB M.2 NVMe PCIe SSD
Asus ExpertBook B1 B1502CVA – i5,"රු245,000.00",– 8GB DDR4 RAM,N/A,– Intel Core i5-1335U Processor,– 512GB M.2 PCIe 4.0 SSD,N/A
MSI Vector 16 HX A14VGG Gaming – i9,"රු730,000.00",– 32GB DDR5 5600MHz RAM,– 1TB NVMe Gen4x4 SSD,– Intel Core i9-14900HX Processor,– 1TB NVMe Gen4x4 SSD,– 1TB NVMe Gen4x4 SSD
MSI Cyborg 15 A12VE Gaming – i5,"රු335,000.00",– 16GB DDR5 4800MHZ RAM,– 512GB M.2 NVMe Gen4 SSD,– Intel Core i5 – 12450H Processor,– 512GB M.2 NVMe Gen4 SSD,– 512GB M.2 NVMe Gen4 SSD
MSI Cyborg 15 A12UDX Gaming – i7,"රු320,000.00",– 16GB DDR5 4800MHZ RAM,N/A,– Intel Core i7 – 12650H Processor,– 512GB M.2 NVMe PCIe GEN4 SSD,– 512GB M.2 NVMe PCIe GEN4 SSD
MSI Cyborg Gaming 15 AI A1VFK – Ultra 7,"රු450,000.00",– 16GB DDR5 4800MHZ RAM,N/A,– Intel Core Ultra 7 155H Processor,– 512GB M.2 NVME GEN4 SSD,– 512GB M.2 NVME GEN4 SSD
Dell Vostro 3530 – i5,"රු235,000.00",– 8GB DDR4 RAM,N/A,– Intel Core i5-1335U Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
Dell Inspiron 3520 – i5,"රු184,000.00",– 8GB DDR4 RAM,N/A,– Intel Core i5 – 1255U Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
Huawei MateBook D14 – i5,"රු260,000.00",– 16GB DDR5 RAM,– Genuine Windows 11 Home,– Intel Core i5 – 13420H Processor,– 512GB PCIe NVMe SSD,– 512GB PCIe NVMe SSD
MSI Cyborg Gaming 15 AI A1VEK – Ultra 7,"රු420,000.00",– 16GB DDR5 4800MHZ RAM,N/A,– Intel Core Ultra 7 155H Processor,– 512GB M.2 PCIe NVMe SSD,– 512GB M.2 PCIe NVMe SSD
Apple MGN63 13.3″ MacBook Air – M1,"රු265,000.00",– 8GB Unified RAM,N/A,N/A,– 256GB SSD,N/A
HP ProBook 450 G9 – i7,"රු300,000.00",– 8GB DDR4 3200 RAM,N/A,– Intel Core i7 – 1255U Processor,– 512GB NVMe SSD,– 512GB NVMe SSD
Lenovo IdeaPad Slim 3 15IAH8 – i5,"රු180,000.00",– 16GB DDR5 4800MHZ RAM,N/A,– Intel Core i5-12450H Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
Lenovo Yoga Pro 7 14AHP9 – Ryzen 7,"රු445,000.00",– 16GB Soldered LPDDR5x-6400 RAM,N/A,– AMD Ryzen 7 8845HS Processor Ryzen 8000 Series,– 1TB SSD M.2 2280 PCIe 4.0×4 NVMe SSD,– 1TB SSD M.2 2280 PCIe 4.0×4 NVMe SSD
Lenovo IdeaPad 1 15AMN7 – AMD Athlon,"රු123,000.00",– 8GB soldered RAM,N/A,– AMD Athlon Silver 7120U Processor,– 256GB SSD M.2 PCIe 4.0×4 NVMe SSD,– 256GB SSD M.2 PCIe 4.0×4 NVMe SSD
HP 15s fq5343TU – i5,"රු190,000.00",8GB DDR4-3200 MHz RAM,N/A,Intel Core i5-1235U Processor,512GB PCIe NVMe M.2 SSD,512GB PCIe NVMe M.2 SSD
Lenovo IdeaPad Slim 3 15AMN8 – Ryzen 3,"රු145,000.00",– 8GB LPDDR5-5500MHz RAM,N/A,– AMD Ryzen 3 – 7320U Processor,– 512GB PCIe NVMe SSD,– 512GB PCIe NVMe SSD
HP 15s eq3076AU – Ryzen 7,"රු215,000.00",– 8GB DDR4-3200MHz RAM,N/A,– AMD Ryzen 7 5825U Processor,– 512GB PCIe NVMe M.2 SSD,– 512GB PCIe NVMe M.2 SSD
Lenovo IdeaPad Slim 3 16IRU9 – Core 5,"රු253,000.00",– 16GB DDR5-5200 RAM,– Intel Core 5 120U Processor (14th Gen),– Intel Core 5 120U Processor (14th Gen),– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
Lenovo IdeaPad Slim 3 15IRU8 – i3,"රු155,000.00",– 8GB DDR4-3200 RAM,N/A,– Intel Core i3-1305U Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
Lenovo IdeaPad Slim 3 15AMN8 – Ryzen 5,"රු185,000.00",– 16GB LPDDR5-5500MHz RAM,N/A,– AMD Ryzen 5 – 7520U Processor,– 512GB PCIe NVMe SSD,– 512GB PCIe NVMe SSD
Lenovo IdeaPad 3 15IAU7 – i3,"රු147,000.00",– 8GB DDR4-3200 RAM,N/A,– Intel Core i3 – 1215U Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
Asus Zenbook 14 UX3405 – Ultra 5,"රු495,000.00",N/A,N/A,– Intel Core Ultra 5 125H Processor,– 1TB M.2 NVMe PCIe 4.0 SSD,– 1TB M.2 NVMe PCIe 4.0 SSD
Lenovo IdeaPad 5 2-in-1 14IRU9 – Core 7,"රු337,000.00",– 16GB DDR5x-5200 RAM,– Intel Core 7 150U Processor (14th Gen),– Intel Core 7 150U Processor (14th Gen),– 1TB SSD M.2 2242 PCIe 4.0×4 NVMe SSD,– 1TB SSD M.2 2242 PCIe 4.0×4 NVMe SSD
