Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
ASUS,"Original price was: රු 220,000.00.",16GB DDR4 3200MHz RAM,N/A,Intel Core i7-13700H Processor,512GB PCIe 3.0 NVMe M.2 SSD,512GB PCIe 3.0 NVMe M.2 SSD
Lenovo,"Original price was: රු 750,000.00.",16 GB DDR5 RAM 4800MHz (2 x 8 GB),512 GB SSD M.2 2242 PCIe Gen4,Intel Core i5-12500H Processor (up to 4.50GHz),512 GB SSD M.2 2242 PCIe Gen4,N/A
GIGABYTE,"Original price was: රු 399,000.00.",16GB DDR5  RAM,Intel® Core i7-13620H 13th Gen Processor,Intel® Core i7-13620H 13th Gen Processor,512GB PCIe SSD Gen 4,N/A
GIGABYTE,"Original price was: රු 345,000.00.",32GB DDR5 5600MHz Ram,1TB PCIe Gen4x4 NVMe M.2 SSD,"Intel Core i7-14650HX (30MB Cache, Up to 5.2 GHz)",1TB PCIe Gen4x4 NVMe M.2 SSD,1TB PCIe Gen4x4 NVMe M.2 SSD
ASUS,"Original price was: රු 160,000.00.",8GB DDR4 3200MHz RAM,N/A,Intel Core i5 – 12500H Processor,1TB PCIe 3.0 NVMe M.2 SSD,1TB PCIe 3.0 NVMe M.2 SSD
ASUS,"Original price was: රු 279,000.00.",16GB DDR4 3200MHz RAM,N/A,Intel Core i5 – 12500H Processor,512GB PCIe 3.0 NVMe M.2 SSD,512GB PCIe 3.0 NVMe M.2 SSD
ASUS,"Original price was: රු 285,000.00.",16GB DDR4 3200MHz RAM,N/A,Intel Core i5 – 12500H Processor,512GB PCIe 3.0 NVMe M.2 SSD,512GB PCIe 3.0 NVMe M.2 SSD
ASUS,"Original price was: රු 285,000.00.",N/A,Genuine Windows 11 Home 64Bit Pre-installed,Intel® Core™ i9-13900H Processor,1TB M.2 NVME SSD,1TB M.2 NVME SSD
HP,"Original price was: රු 218,000.00.",8GB DDR5-4800 MHz SDRAM (1 X 8 GB),Genuine Windows 11,AMD Ryzen™ 5 7535HS Processor,512 GB PCIe® NVMe™ TLC M.2 SSD (4×4 SSD),512 GB PCIe® NVMe™ TLC M.2 SSD (4×4 SSD)
ASUS,"Original price was: රු 1,250,000.00.",16 GB DDR4 Ram,N/A,N/A,512 GB M.2 NVMe PCIe 3.0 SSD,512 GB M.2 NVMe PCIe 3.0 SSD
HP,"Original price was: රු 122,500.00.",8GB DDR4 3200MHZ Ram,Genuine Windows 11 Home 64Bit Pre-installed,"Intel®️ Core™️ i5-13420H (12M Cache, up to 4.60 GHz)",512GB GEN4 NVME M.2 SSD,512GB GEN4 NVME M.2 SSD
ASUS,"Original price was: රු 188,000.00.",N/A,N/A,Intel Core i7-13620H Processor,512GB NVME M.2 SSD,512GB NVME M.2 SSD
Lenovo,"Original price was: රු 218,000.00.",8GB DDR5 5600MHz RAM,N/A,AMD Ryzen 7 – 7840HS Processor,512GB M.2 2242 PCIe NVMe SSD,512GB M.2 2242 PCIe NVMe SSD
GIGABYTE,"Original price was: රු 365,000.00.",N/A,Genuine Windows 11 Home 64Bit Pre-installed,Intel®️ Core™️ i5-12500H Processor,512GB GEN4 NVME M.2 SSD,512GB GEN4 NVME M.2 SSD
ASUS,"Original price was: රු 258,000.00.",16GB DDR4 Memory Ram,Geniune Windows 11 Home 64Bit Pre-installed,Intel® Core™ i7-13650H Processor,512GB M.2 GEN4 NVME SSD,512GB M.2 GEN4 NVME SSD
