Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
LENOVO SLIM 3 15ALC6 RYZEN5 5500U|8GB|512SSD|2GV|W11|grey(3y),"Rs. 253,400.00
Rs. 250,400.00",8GB DDR4-3200 RAM,N/A,AMD Ryzen 5 – 5500U Processor,512GB M.2 PCIe NVMe SSD,512GB M.2 PCIe NVMe SSD
ACER A515-56-53LE CORE i5 11GN|4GB|1TB|W10|SIL (2y),"Rs. 211,150.00
Rs. 201,150.00",4GB DDR,11th Generation Intel® Core i5-1135G7 processor,N/A,1 TB HDD 6.3 cm (2.5-inch) 5400 RPM,1 TB HDD 6.3 cm (2.5-inch) 5400 RPM
ACER TMP 215|RYZEN 5-5650U|8GB|512GB|WIN 10PRO (3y),"Rs. 247,200.00
Rs. 237,200.00",8GB DDR4 RAM,N/A,Ryzen 5 PRO 5650U Processor,N/A,512GB NVMe
HP 255 G8 RYZEN 5 5500U|8GB|1TB|W10|bag(2y)dark ash,"Rs. 195,700.00
Rs. 190,700.00",8GB DDR4 SDRAM,Genuine Windows 10 Home 64 bit,N/A,N/A,1TB Hard Drive
LENOVO V15 G2ITL i5|11GN|8GB|1TB|MX350|15.6'' FHD|W10(3y),"Rs. 216,300.00",RAM Memory - 8GB DDR4,N/A,Processor - Intel core i5,Hard Disk - 1TB HDD,Hard Disk - 1TB HDD
ASUS X513EA-BQ1631 CORE I3 11GN|4GB|512SSD|W11|BLK(2y)with bag,"Rs. 221,450.00",4GB DDR4,Genuine Windows 11 Home 64bit,"Intel® Core™ i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
DELL INS 3530 i5|13GN|8GB|512SSD|W11(2y),"Rs. 291,250.00","Memory : 8GB, 1x8GB, DDR4, 2666MHz",Processor : 13th Generation Intel® Core? i5,Processor : 13th Generation Intel® Core? i5,N/A,N/A
MICROSOFT WINDOWS PRO 11 64BIT,"Rs. 26,500.00",N/A,N/A,N/A,N/A,N/A
DELL 3511 CORE i5 11GN|8GB|512SSD|W11(2y)SIL,"Rs. 226,600.00","8GB, 1x8GB, DDR4, 2666MHz",DELL Inspiron 15 3511 Intel Core i5-11th Generation,"11th Generation Intel(R) Core( TM) i5-1135G7 Processor (8MB Cache, up to 4.2 GHz)",N/A,512GB M.2 PCIe NVMe Solid State Drive
ACER A515-58P-39UF i3|13GN|8GB|512SSD|15.6'' FHD|W11(2y),"Rs. 160,450.00",8GB DDR5 RAM,N/A,Intel Core i3 – 1305U Processor,512GB NVMe SSD,512GB NVMe SSD
HP 250 G10 i5|13GN|8GB|512SSD|15.6'' FHD|BACKLIT|DOS(3y),"Rs. 222,000.00",Memory -  GB DDR4-3200 MHz RAM (1 x 8 GB),N/A,Processor - Intel® Core™ i5-1335U,Internal Storage - 512 GB PCIe® NVMe™ SSD,Internal Storage - 512 GB PCIe® NVMe™ SSD
DELL 3511 CORE i5|11GN|8GB|512SSD|MX350|W11|SIL(2y),"Rs. 247,200.00","8GB, 1x8GB, DDR4, 3200MHz",DELL Inspiron 15 3511 Intel i5 11th Gen,"11th Generation Intel(R) Core( TM) i5-1135G7 Processor (8MB Cache, up to 4.2 GHz)",N/A,512GB M.2 PCIe NVMe Solid State Drive
ACER TMP215-53-33H7 CORE i3 11GN|8GB|128GB+1TB|W10(2y),"Rs. 165,600.00","RAM: 8GB 3200MHz,",Genuine Windows 10 Pro 64bit,"Processor: Intel Core i3-1115G4 (6M Cache, 3.00 GHz up to 4.10 GHz)",Storage: 128GB SSD PCIe + 1TB SATA Hard Disk,Storage: 128GB SSD PCIe + 1TB SATA Hard Disk
ASUS UP3404V i5|13GN|8GB|512SSD|14''|W11(2y),"Rs. 394,250.00",8GB DDR5 Onboard RAM,N/A,Intel Core i5 – 1340P Processor,512GB NVME M.2 SSD,512GB NVME M.2 SSD
ASUS X1504V i7|13GN|16GB|512SSD|W11|BLUE(2y),"Rs. 335,500.00",N/A,N/A,Processor: Intel® Core™ i7-1355U Processor 1.7 GHz,Storage: 512GB M.2 NVMe™ PCIe® 3.0 SSD,Storage: 512GB M.2 NVMe™ PCIe® 3.0 SSD
ACER A515-56G-58LQ CORE i5 11GN|8GB|1TB|2GV|W(2y) - bat & adp 1y,"Rs. 236,900.00",8GB DDR4 RAM,Acer Aspire 5 Intel i5 11th Generation Laptop,N/A,N/A,1TB Hard Disk 5400 RPM
HP PROBOOK 440 G8 CORE i7 11GN/8GB/512SSD/14''/W10(3y),"Rs. 336,600.00",8 GB DDR4-3200 SDRAM (2 x 4 GB),N/A,Intel Core i7-1165G7 Processor,N/A,512 GB PCIe NVMe M.2 Solid State Drive
ACER A515-56-734Q CORE i7 11GN|8GB|1TB|MX350|WIN11(3y) bat & adp 1y,"Rs. 295,800.00",ACER ASPIRE 5 A515 ( INTEL CORE I7 1165G7 |4.70 GHZ |12 MB SMART INTEL CACHE|8 GB DDR 4 |15.6 FHD IPS SCREEN |NVIDIA 2GB MX350 |1 TB HDD + SSD UPGRADABLE |BACKLIT KEYBOARD,Intel core i7 1165G7 (11th Gen),N/A,ACER ASPIRE 5 A515 ( INTEL CORE I7 1165G7 |4.70 GHZ |12 MB SMART INTEL CACHE|8 GB DDR 4 |15.6 FHD IPS SCREEN |NVIDIA 2GB MX350 |1 TB HDD + SSD UPGRADABLE |BACKLIT KEYBOARD,ACER ASPIRE 5 A515 ( INTEL CORE I7 1165G7 |4.70 GHZ |12 MB SMART INTEL CACHE|8 GB DDR 4 |15.6 FHD IPS SCREEN |NVIDIA 2GB MX350 |1 TB HDD + SSD UPGRADABLE |BACKLIT KEYBOARD
HP PROBOOK 440 G8 CORE i5 11GN/8GB/512SSD/14''/W10(3y),"Rs. 342,750.00",8 GB DDR4-3200 SDRAM,N/A,Intel Core i5-1135G7 Processor,N/A,512 GB PCIe NVMe M.2 Solid State Drive
DELL 3511 CORE i7|11GN|8GB|512SSD|MX350 2GV|W10(2y),"Rs. 285,600.00",NVIDIA(R) GeForce(R) MX350 wit h 2GB GDDR5 graphics memory,DELL Inspiron 15 3511 i7-1165G7 11th Generation,"11th Generation Intel(R) Core( TM) i7-1165G7 Processor (12MB Cache, up to 4.7 GHz)",N/A,512GB M.2 PCIe NVMe Solid State Drive
ASUS X513E-BQ1632W CORE i3 11GN|4GB|512SSD|W11|BLU(2y)with bag,"Rs. 221,450.00",4GB DDR4 on board,Genuine Windows 10 Home 64 bit,"Intel® Core™ i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
HP 250 G8 CORE i3 11GN|4GB|1TB|W10|BAG(3y),"Rs. 163,550.00",4GB DDR4 SDRAM,N/A,Intel Core i3-1115G4 Processor,1TB SATA HDD,1TB SATA HDD
DELL 3525 RYZEN 7 5825U|8GB|512SSD|silver(2y),"Rs. 256,500.00",Memory : 8 GB DDR4 RAM,N/A,Processor : AMD Ryzen 7 5825U Processor,N/A,Hard Drive : 512GB M.2 PCIe NVMe
HP 250 G10 i3|13GN|8GB|512SSD|15.6'' FHD|BACKLIT|DOS(3y),"Rs. 177,500.00",Memory -  8GB DDR4-3200 MHz RAM (1 x 8 GB),N/A,Processor - Intel® Core™ i3-1315U,Internal Storage - 512 GB PCIe® NVMe™ SSD,Internal Storage - 512 GB PCIe® NVMe™ SSD
LENOVO IP3 15IAU7 CORE i3 12GN|8GB|256SSD|W11|BLUE(3y),"Rs. 155,250.00",8GB Soldered DDR4-3200 (Extra Sodimm Slot),N/A,Intel Core i3-1215U Processor,256GB SSD M.2 2242 PCIe 3.0x4 NVMe,256GB SSD M.2 2242 PCIe 3.0x4 NVMe
DELL INS 3530 i3|13GN|8GB|512SSD|W11(2y),"Rs. 189,550.00",N/A,Generation : 13th Generation,Processor : 13th Generation Intel(R) Core(TM) i3,N/A,N/A
HP 15-fd0105TU i5|13GN|8GB|512SSD|W11(2y/bat & adp1y),"Rs. 242,050.00",Memory : 8 GB DDR4-3200 MHz RAM,Processor : 13th Generation Intel® Core™ i5,Processor : 13th Generation Intel® Core™ i5,Internal Storage : 512 GB PCIe® NVMe™ M.2 SSD,Internal Storage : 512 GB PCIe® NVMe™ M.2 SSD
HP 14-EP0162TU i5|13GN|8GB|512SSD|14''FHD|W11|MSO(2y) bat & adp 1y,"Rs. 247,200.00",8 GB DDR4,i5 processor  13th Generation                                                                          ,Processor,N/A,N/A
ACER ASPIRE A15-51P-56XV 14GN|16GB|512SSD|15.6''FHD|W11(2y/bat 1y),"Rs. 228,000.00",RAM Memory,14th Gen Intel® Core™ 5 processor 120U,Processor,512GB SSD,N/A
LENOVO IP SLIM3 15IRU8 i3|13GN|8GB|256SSD|W11(2y),"Rs. 157,000.00",RAM,Core i3 13th Generation                                                                                   ,N/A,N/A,N/A
HP 15S-FQ5886TU CORE i5|12GN|512GB|8GB|W11(2y),"Rs. 231,750.00",8GB 3200MHz DDR4,Intel Core i5-1235U 12th Generation,N/A,512GB M.2 SSD,N/A
ACER A315-59G-53L0 CORE i5 12GN|8GB|1TB+128SSD|MX550 2GV|W11(2y),"Rs. 344,800.00",8GB DDR4 Memory,Genuine Windows 11 Home 64bit,N/A,1TB HDD +128SSD,1TB HDD +128SSD
"LENOVO YOGA SLIM7 14ACN6 RYZEN7 5800U|16GB|512GB PCIE|MX450|14"" OLED|WIN11 (3y)","Rs. 671,650.00",16GB Soldered LPDDR4x-4266,N/A,N/A,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,512GB SSD M.2 2280 PCIe 3.0x4 NVMe
HP 250 G8 CORE i5 11GN|8GB|1TB|W10(3y),"Rs. 260,100.00",8 GB DDR4 Memory,N/A,"11th gen Intel Core i5-1135G7 ( up to 4.2 GHz with  8 MB, 4 cores) Processor",1TB HDD ,1TB HDD 
DELL VOSTRO 3520 CORE i5 8GB|512SSD|DOS(3y),"Rs. 262,150.00","Memory  : 8 GB, 1 x 8 GB, DDR4",Processor : 12th Gen Intel® Core™ i5-1235U,Processor : 12th Gen Intel® Core™ i5-1235U,"Hard Drive : 512 GB, M.2, PCIe NVMe, SSD","Hard Drive : 512 GB, M.2, PCIe NVMe, SSD"
LENOVO SLIM5 14ALC05 RYZEN 5 5500U|16GB|512SSD|14''|W11|grey(3y),"Rs. 314,200.00",Memory : 16GB Soldered DDR4-3200,N/A,Processor : AMD Ryzen 5 5500U,LENOVO SLIM5 14ALC05 RYZEN 5 5500U|16GB|512SSD|14''|W11|grey(3y),Storage : 512GB SSD M.2 2242 PCIe 3.0×4 NVMe
LENOVO SLIM 3 15ALC6 RYZEN7 5700U|8GB|512SSD|W11|grey(3y),"Rs. 280,500.00",8GB DDR4 3200MHZ (4GB OB + 4GB SODIMM),Genuine Windows 11 Home 64 bIt,N/A,512GB NVME M.2 SSD,512GB NVME M.2 SSD
ACER A315-59G-55Z2 CORE i5 12GN|8GB|1TB|MX550 2GB|W11|silver(2y),"Rs. 216,300.00",MEMORY : 8 GB of DDR4,N/A,N/A,N/A,HARD DISK DRIVE : 1 TB 2.5-inch 5400 RPM
HP 15-FD0204TU i5|13GN|8GB|512SSD|15.6''FHD|W11|MSO(2y)bat & adp 1y,"Rs. 209,500.00",8GB DDR4 3200MHZ,Genuine Windows 11 Home 64Bit Pre-installed,N/A,512GB NVME M.2 SSD,512GB NVME M.2 SSD
HP 15-FD0206TU i5|13GN|8GB|512SSD|15.6''FHD|W11|MSO(2y)bat & adp 1y,"Rs. 247,200.00",8 GB DDR4,i5 processor 13th Generation,Processor family,N/A,512 GB PCIe® NVMe
